t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
799279195.995,799279205.995,799279201.5006336,799279197.011,799279205.956,22.0662385538498,1.7473031001628851,4.545645142093059e-15,3.5994443863355435e-16,16.720679227645252,0.0827392036008412,0.08956839554703677,22.44175222717658,1.7338370955905174,4.623000958798375e-15,3.5717044169164655e-16,16.70235809214879,0.08080076610012199,0.08730096680133315,23.261585351054062,1.7040679686667002,4.7918865823171366e-15,3.5103800154534025e-16,16.663401725120377,0.07675906381972553,0.08260141249022723,161.0,186.3394433126254,6.0,5.201481564903644,8.010608069074781,9.575454699027164,6.567361837427767,0.8640974085534121,557.6676025390625,351.89813232421875,164.84193205708965,244.27273254361933,55.26860069916723,13.962733268737793,0.0
799279205.995,799279215.995,799279210.5597143,799279205.999,799279215.906,25.327842167213607,1.7686870364350313,5.2175354864460025e-15,3.6434952950561646e-16,16.571004522048597,0.07328868611309858,0.07859619821339336,25.77051011760747,1.7545757868857683,5.308725084227139e-15,3.6144261209846826e-16,16.552192461668007,0.07151416931419163,0.07655881992188185,26.590343241484955,1.7281370791137445,5.4776107077459e-15,3.5599623829743134e-16,16.518190141353223,0.06836500064837381,0.0729607001722421,203.0,236.7508297535031,7.0,6.106143132393798,8.903639475557277,11.240854402815854,7.299498565125017,0.8575990298153225,557.1221313476562,352.9930419921875,164.0031044229907,244.27234274242775,55.26857952072635,13.8128080368042,0.0
799279215.995,799279225.995,799279220.9816544,799279216.019,799279225.981,22.977047828971227,1.7265811985059787,4.733271852768073e-15,3.556757268922316e-16,16.67676442932266,0.07866632166597753,0.08481439320432216,23.951220057344372,1.6946276276366368,4.9339513318129406e-15,3.4909329129314716e-16,16.631680897619724,0.07422354409699139,0.07967242006742481,24.77105318122186,1.6672620105252798,5.102836955331703e-15,3.434559741682076e-16,16.595138820730643,0.07072326033641474,0.07565305319507942,188.0,220.7400995737034,10.0,8.68416675783569,8.91121172599312,15.986761531470249,7.305706546854616,0.8517416839286281,557.38671875,354.8575744628906,163.7327634356211,244.27266136049033,55.268690121460295,14.515957832336426,0.0
799279225.995,799279235.995,799279231.3948994,799279226.033,799279235.863,24.390530199395425,1.690253927730764,5.024449221075457e-15,3.4819230911253737e-16,16.61194689731233,0.07274850845941927,0.07797524576991322,24.104823842241768,1.6997117437005287,4.965593711501804e-15,3.501406192023089e-16,16.624740094970363,0.07398021325301585,0.07939210217577042,24.924656966119255,1.672429127854976,5.134479335020566e-15,3.4452040033812506e-16,16.588427025243544,0.07051217296526602,0.07541155034609304,189.0,222.1073518591277,3.0,2.58550715636369,8.911149796807399,4.759683628760429,7.305655775256827,0.8510391238852921,558.6710815429688,356.2474060058594,164.5928358077336,244.27263845784907,55.26857097543738,13.91534423828125,0.0
799279235.995,799279245.995,799279241.200891,799279236.02,799279245.967,26.35356303217122,1.764697234947889,5.4288339846272715e-15,3.6352763039926513e-16,16.527901648415057,0.07037276469672449,0.07525210999105525,26.243683743243974,1.7681845965769716,5.4061988511082584e-15,3.6424602689485615e-16,16.532438011171884,0.07079320224314145,0.0757330952057842,27.06351686712146,1.7419963626902715,5.575084474627021e-15,3.5885125071419594e-16,16.499039420238336,0.06772846395372056,0.07223612824892456,211.0,241.3648233756966,4.0,3.4394382064540903,8.918457440722438,6.331693061881394,7.311646823795878,0.874629099745664,560.5433349609375,357.203125,166.1497364131084,244.27260146886016,55.268689805048176,13.93838882446289,0.0
799279245.995,799279255.995,799279250.6839948,799279246.002,799279255.971,23.806158288375045,1.7052275173733198,4.904068607405259e-15,3.512768685789039e-16,16.638276707705153,0.07511183418285228,0.08069688181533863,24.051841582252173,1.6971321394473673,4.9546793659439474e-15,3.4960922072615767e-16,16.627129163257543,0.07402897331368052,0.07944826308724018,24.871674706129657,1.66983429234143,5.123564989462709e-15,3.4398586422233456e-16,16.5907374275425,0.07055145437212573,0.07545648416866158,193.0,221.85197876797508,6.0,5.162809269457873,8.919864922216089,9.504262518774722,7.312800723745617,0.8700303476385147,562.1021728515625,357.2677307128906,167.63997518976157,244.27289844301774,55.268527935137406,14.435233116149902,0.0
799279255.995,799279265.995,799279261.0366046,799279256.016,799279265.952,25.840849570622698,1.8051373003586653,5.323215011548276e-15,3.7185828387388504e-16,16.549233030313886,0.07331327391104736,0.07862447852321708,26.640372492102458,1.7801488270594503,5.487916733373106e-15,3.6671065837424674e-16,16.516149267623177,0.07022936750247766,0.07508815330452734,27.460205615979945,1.7541559659359973,5.656802356891869e-15,3.6135612898281546e-16,16.48324053796382,0.06723153837035412,0.07167110697156076,215.0,245.05928381049313,9.0,7.850139595177503,8.924160555734716,14.451393345667675,7.316322426392226,0.8773946401826435,563.5693969726562,356.3597717285156,169.29092459309706,244.27287920580739,55.268662169767744,13.786046981811523,0.0
799279265.995,799279275.995,799279270.6886436,799279266.027,799279275.948,26.65058570883647,1.796212906784738,5.4900206560203126e-15,3.7001985879765605e-16,16.51573310474357,0.07081660039366966,0.07575987468242218,26.89870563907621,1.788455088612833,5.541133361649699e-15,3.684217482542436e-16,16.505671544169765,0.06989046085338657,0.07470084050144976,27.718538762953695,1.7625790675516468,5.710018985168461e-15,3.6309128791563924e-16,16.47307417035196,0.06693403677407161,0.07133310186880237,216.0,247.3110079484073,6.0,5.175984120639046,8.922223861199448,9.528516222085516,7.314734660061382,0.8735139888076934,564.5338134765625,354.8505554199219,170.61608401035878,244.27295929130375,55.268617748889874,13.314814567565918,0.0
799279275.995,799279285.995,799279281.066598,799279275.998,799279285.935,25.104671323521845,1.724602419681053,5.1715622926455e-15,3.552680984542969e-16,16.58061365035416,0.07213594202390894,0.07727188278298058,25.00610425507602,1.7278010901066378,5.1512574765456606e-15,3.5592702456196737e-16,16.584884906250373,0.07254092135851664,0.07773679394120592,25.825937378953505,1.7010130636549234,5.3201431000644215e-15,3.504086911129142e-16,16.549859765893665,0.06925501837749337,0.07397533523253585,199.0,230.51377836713073,4.0,3.4970669516659765,8.925669375895907,6.437782342839639,7.317559407138345,0.8633738399740261,564.8214111328125,353.0133056640625,171.38800136657883,244.27277452144784,55.26868906482276,13.467336654663086,0.0
799279285.995,799279295.995,799279291.1373959,799279286.085,799279295.99,25.200517205714178,1.7386035309267682,5.19130654437712e-15,3.5815232737091424e-16,16.576476364585556,0.07243490639218564,0.07761505410451264,25.27820153181306,1.736100163902294,5.20730951555349e-15,3.5763663376387256e-16,16.573134570099327,0.07211893448872075,0.0772523664956637,26.098034655690547,1.709457673535051,5.3761951390722524e-15,3.521482807482205e-16,16.538480491264085,0.06888505649494903,0.0735533563348234,202.0,233.07672272028677,5.0,4.354132672649824,8.930815128236699,8.015562420105358,7.3217780653545965,0.8668018023812241,563.8430786132812,351.3541564941406,170.91217774013185,244.2725337933543,55.26869015076092,13.311881065368652,0.0
